n,pts_time,fps,frame_idx
1,0.0,25.0,0
2,0.08,25.0,2
3,0.2,25.0,5
4,0.32,25.0,8
5,0.36,25.0,9
6,0.88,25.0,22
7,1.4,25.0,35
8,1.96,25.0,49
9,2.04,25.0,51
10,6.04,25.0,151
11,10.08,25.0,252
12,14.12,25.0,353
13,14.16,25.0,354
14,14.92,25.0,373
15,15.72,25.0,393
16,16.52,25.0,413
17,16.56,25.0,414
18,16.92,25.0,423
19,17.32,25.0,433
20,17.72,25.0,443
21,17.76,25.0,444
22,18.12,25.0,453
23,18.52,25.0,463
24,18.92,25.0,473
25,18.96,25.0,474
26,19.36,25.0,484
27,19.8,25.0,495
28,20.24,25.0,506
29,20.28,25.0,507
30,20.72,25.0,518
31,21.16,25.0,529
32,21.6,25.0,540
33,21.64,25.0,541
34,22.04,25.0,551
35,22.44,25.0,561
36,22.84,25.0,571
37,22.88,25.0,572
38,23.28,25.0,582
39,23.68,25.0,592
40,24.08,25.0,602
41,24.12,25.0,603
42,24.52,25.0,613
43,24.92,25.0,623
44,25.32,25.0,633
45,25.36,25.0,634
46,25.76,25.0,644
47,26.16,25.0,654
48,26.56,25.0,664
49,26.6,25.0,665
50,27.0,25.0,675
51,27.4,25.0,685
52,27.8,25.0,695
53,27.84,25.0,696
54,28.24,25.0,706
55,28.64,25.0,716
56,29.04,25.0,726
57,29.08,25.0,727
58,29.48,25.0,737
59,29.88,25.0,747
60,30.28,25.0,757
61,30.32,25.0,758
62,30.72,25.0,768
63,31.12,25.0,778
64,31.56,25.0,789
65,31.6,25.0,790
66,32.0,25.0,800
67,32.4,25.0,810
68,32.8,25.0,820
69,32.84,25.0,821
70,33.24,25.0,831
71,33.64,25.0,841
72,34.04,25.0,851
73,34.08,25.0,852
74,34.48,25.0,862
75,34.88,25.0,872
76,35.28,25.0,882
77,35.32,25.0,883
78,35.72,25.0,893
79,36.12,25.0,903
80,36.52,25.0,913
81,36.56,25.0,914
82,37.56,25.0,939
83,38.6,25.0,965
84,39.64,25.0,991
85,39.68,25.0,992
86,46.24,25.0,1156
87,52.8,25.0,1320
88,59.4,25.0,1485
89,59.44,25.0,1486
90,59.8,25.0,1495
91,60.16,25.0,1504
92,60.52,25.0,1513
93,60.56,25.0,1514
94,60.88,25.0,1522
95,61.2,25.0,1530
96,61.52,25.0,1538
97,61.56,25.0,1539
98,62.04,25.0,1551
99,62.52,25.0,1563
100,63.0,25.0,1575
101,63.04,25.0,1576
102,63.44,25.0,1586
103,63.84,25.0,1596
104,64.24,25.0,1606
105,64.28,25.0,1607
106,64.6,25.0,1615
107,64.96,25.0,1624
108,65.32,25.0,1633
109,65.36,25.0,1634
110,65.72,25.0,1643
111,66.12,25.0,1653
112,66.52,25.0,1663
113,66.56,25.0,1664
114,66.88,25.0,1672
115,67.2,25.0,1680
116,67.56,25.0,1689
117,67.6,25.0,1690
118,68.08,25.0,1702
119,68.56,25.0,1714
120,69.08,25.0,1727
121,69.12,25.0,1728
122,69.56,25.0,1739
123,70.0,25.0,1750
124,70.44,25.0,1761
125,70.48,25.0,1762
126,70.92,25.0,1773
127,71.36,25.0,1784
128,71.84,25.0,1796
129,71.88,25.0,1797
130,72.2,25.0,1805
131,72.56,25.0,1814
132,72.92,25.0,1823
133,72.96,25.0,1824
134,73.44,25.0,1836
135,73.96,25.0,1849
136,74.48,25.0,1862
137,74.52,25.0,1863
138,74.92,25.0,1873
139,75.32,25.0,1883
140,75.76,25.0,1894
141,75.8,25.0,1895
142,76.24,25.0,1906
143,76.68,25.0,1917
144,77.12,25.0,1928
145,77.16,25.0,1929
146,77.76,25.0,1944
147,78.36,25.0,1959
148,78.96,25.0,1974
149,79.0,25.0,1975
150,79.44,25.0,1986
151,79.88,25.0,1997
152,80.36,25.0,2009
153,80.4,25.0,2010
154,80.68,25.0,2017
155,81.0,25.0,2025
156,81.32,25.0,2033
157,81.36,25.0,2034
158,81.92,25.0,2048
159,82.48,25.0,2062
160,83.08,25.0,2077
161,83.12,25.0,2078
162,83.52,25.0,2088
163,83.96,25.0,2099
164,84.4,25.0,2110
165,84.44,25.0,2111
166,84.8,25.0,2120
167,85.2,25.0,2130
168,85.6,25.0,2140
169,85.64,25.0,2141
