n,pts_time,fps,frame_idx
1,0.0,25.0,0
2,0.12,25.0,3
3,0.24,25.0,6
4,0.36,25.0,9
5,0.4,25.0,10
6,0.8,25.0,20
7,1.2,25.0,30
8,1.6,25.0,40
9,1.68,25.0,42
10,5.8,25.0,145
11,9.96,25.0,249
12,14.12,25.0,353
13,14.16,25.0,354
14,15.16,25.0,379
15,16.16,25.0,404
16,17.16,25.0,429
17,17.2,25.0,430
18,17.56,25.0,439
19,17.92,25.0,448
20,18.28,25.0,457
21,18.32,25.0,458
22,18.68,25.0,467
23,19.04,25.0,476
24,19.4,25.0,485
25,19.44,25.0,486
26,20.08,25.0,502
27,20.72,25.0,518
28,21.4,25.0,535
29,21.44,25.0,536
30,22.04,25.0,551
31,22.64,25.0,566
32,23.24,25.0,581
33,23.28,25.0,582
34,25.24,25.0,631
35,27.2,25.0,680
36,29.2,25.0,730
37,29.24,25.0,731
38,31.08,25.0,777
39,32.96,25.0,824
40,34.84,25.0,871
41,34.88,25.0,872
42,35.76,25.0,894
43,36.64,25.0,916
44,37.56,25.0,939
45,37.6,25.0,940
46,48.16,25.0,1204
47,58.72,25.0,1468
48,69.28,25.0,1732
49,69.32,25.0,1733
50,71.56,25.0,1789
51,73.84,25.0,1846
52,76.12,25.0,1903
53,76.16,25.0,1904
54,79.28,25.0,1982
55,82.4,25.0,2060
56,85.56,25.0,2139
57,85.6,25.0,2140
58,88.6,25.0,2215
59,91.6,25.0,2290
60,94.64,25.0,2366
61,94.68,25.0,2367
62,98.6,25.0,2465
63,102.56,25.0,2564
64,106.52,25.0,2663
65,106.56,25.0,2664
66,108.36,25.0,2709
67,110.16,25.0,2754
68,112.0,25.0,2800
69,112.04,25.0,2801
70,115.04,25.0,2876
71,118.08,25.0,2952
72,121.12,25.0,3028
73,121.16,25.0,3029
74,122.08,25.0,3052
75,123.0,25.0,3075
76,123.92,25.0,3098
77,123.96,25.0,3099
78,128.88,25.0,3222
79,133.84,25.0,3346
80,138.8,25.0,3470
81,138.84,25.0,3471
82,140.68,25.0,3517
83,142.56,25.0,3564
84,144.44,25.0,3611
85,144.48,25.0,3612
86,146.44,25.0,3661
87,148.44,25.0,3711
88,150.44,25.0,3761
89,150.48,25.0,3762
90,155.24,25.0,3881
91,160.0,25.0,4000
92,164.8,25.0,4120
93,164.84,25.0,4121
94,170.32,25.0,4258
95,175.8,25.0,4395
96,181.32,25.0,4533
97,181.36,25.0,4534
98,185.32,25.0,4633
99,189.32,25.0,4733
100,193.32,25.0,4833
101,193.36,25.0,4834
102,198.04,25.0,4951
103,202.76,25.0,5069
104,207.48,25.0,5187
105,207.52,25.0,5188
106,212.36,25.0,5309
107,217.24,25.0,5431
108,222.12,25.0,5553
109,222.16,25.0,5554
110,223.56,25.0,5589
111,225.0,25.0,5625
112,226.44,25.0,5661
113,226.48,25.0,5662
114,227.8,25.0,5695
115,229.16,25.0,5729
116,230.52,25.0,5763
117,230.56,25.0,5764
118,231.6,25.0,5790
119,232.64,25.0,5816
120,233.68,25.0,5842
121,233.72,25.0,5843
122,234.48,25.0,5862
123,235.24,25.0,5881
124,236.0,25.0,5900
125,236.04,25.0,5901
126,237.16,25.0,5929
127,238.28,25.0,5957
128,239.44,25.0,5986
129,239.48,25.0,5987
130,240.16,25.0,6004
131,240.84,25.0,6021
132,241.52,25.0,6038
133,241.56,25.0,6039
134,242.44,25.0,6061
135,243.32,25.0,6083
136,244.24,25.0,6106
137,244.28,25.0,6107
138,244.8,25.0,6120
139,245.32,25.0,6133
140,245.84,25.0,6146
141,245.88,25.0,6147
