n,pts_time,fps,frame_idx
1,0.0,25.0,0
2,0.04,25.0,1
3,0.12,25.0,3
4,0.2,25.0,5
5,0.24,25.0,6
6,0.8,25.0,20
7,1.4,25.0,35
8,2.0,25.0,50
9,2.04,25.0,51
10,6.6,25.0,165
11,11.16,25.0,279
12,15.76,25.0,394
13,15.8,25.0,395
14,16.52,25.0,413
15,17.24,25.0,431
16,17.96,25.0,449
17,18.0,25.0,450
18,18.4,25.0,460
19,18.8,25.0,470
20,19.2,25.0,480
21,19.24,25.0,481
22,19.56,25.0,489
23,19.88,25.0,497
24,20.2,25.0,505
25,20.24,25.0,506
26,20.72,25.0,518
27,21.2,25.0,530
28,21.68,25.0,542
29,21.72,25.0,543
30,22.16,25.0,554
31,22.6,25.0,565
32,23.04,25.0,576
33,23.08,25.0,577
34,23.48,25.0,587
35,23.88,25.0,597
36,24.28,25.0,607
37,24.32,25.0,608
38,24.72,25.0,618
39,25.12,25.0,628
40,25.52,25.0,638
41,25.56,25.0,639
42,25.96,25.0,649
43,26.36,25.0,659
44,26.76,25.0,669
45,26.8,25.0,670
46,27.2,25.0,680
47,27.6,25.0,690
48,28.0,25.0,700
49,28.04,25.0,701
50,28.44,25.0,711
51,28.84,25.0,721
52,29.24,25.0,731
53,29.28,25.0,732
54,29.68,25.0,742
55,30.08,25.0,752
56,30.48,25.0,762
57,30.52,25.0,763
58,30.92,25.0,773
59,31.32,25.0,783
60,31.72,25.0,793
61,31.76,25.0,794
62,32.16,25.0,804
63,32.56,25.0,814
64,33.0,25.0,825
65,33.04,25.0,826
66,33.44,25.0,836
67,33.84,25.0,846
68,34.24,25.0,856
69,34.28,25.0,857
70,34.68,25.0,867
71,35.08,25.0,877
72,35.48,25.0,887
73,35.52,25.0,888
74,35.84,25.0,896
75,36.16,25.0,904
76,36.52,25.0,913
77,36.56,25.0,914
78,36.6,25.0,915
79,36.64,25.0,916
80,36.72,25.0,918
81,36.76,25.0,919
82,37.16,25.0,929
83,37.56,25.0,939
84,37.96,25.0,949
85,38.0,25.0,950
86,39.0,25.0,975
87,40.04,25.0,1001
88,41.08,25.0,1027
89,41.12,25.0,1028
90,48.36,25.0,1209
91,55.6,25.0,1390
92,62.84,25.0,1571
93,62.88,25.0,1572
94,63.64,25.0,1591
95,64.4,25.0,1610
96,65.16,25.0,1629
97,65.2,25.0,1630
98,65.8,25.0,1645
99,66.4,25.0,1660
100,67.04,25.0,1676
101,67.08,25.0,1677
102,67.4,25.0,1685
103,67.76,25.0,1694
104,68.12,25.0,1703
105,68.16,25.0,1704
106,68.56,25.0,1714
107,68.96,25.0,1724
108,69.36,25.0,1734
109,69.4,25.0,1735
110,70.0,25.0,1750
111,70.6,25.0,1765
112,71.2,25.0,1780
113,71.24,25.0,1781
114,71.76,25.0,1794
115,72.32,25.0,1808
116,72.88,25.0,1822
117,72.92,25.0,1823
118,73.44,25.0,1836
119,74.0,25.0,1850
120,74.56,25.0,1864
121,74.6,25.0,1865
122,75.16,25.0,1879
123,75.72,25.0,1893
124,76.32,25.0,1908
125,76.36,25.0,1909
126,77.12,25.0,1928
127,77.88,25.0,1947
128,78.64,25.0,1966
129,78.68,25.0,1967
130,79.28,25.0,1982
131,79.88,25.0,1997
132,80.52,25.0,2013
133,80.56,25.0,2014
134,81.2,25.0,2030
135,81.84,25.0,2046
136,82.48,25.0,2062
137,82.52,25.0,2063
138,82.84,25.0,2071
139,83.2,25.0,2080
140,83.56,25.0,2089
141,83.6,25.0,2090
142,84.36,25.0,2109
143,85.12,25.0,2128
144,85.88,25.0,2147
145,85.92,25.0,2148
146,86.52,25.0,2163
147,87.16,25.0,2179
148,87.8,25.0,2195
149,87.84,25.0,2196
150,88.44,25.0,2211
151,89.04,25.0,2226
152,89.64,25.0,2241
153,89.68,25.0,2242
154,90.28,25.0,2257
155,90.92,25.0,2273
156,91.56,25.0,2289
157,91.6,25.0,2290
158,91.96,25.0,2299
159,92.32,25.0,2308
160,92.68,25.0,2317
161,92.72,25.0,2318
162,93.16,25.0,2329
163,93.64,25.0,2341
164,94.12,25.0,2353
165,94.16,25.0,2354
166,94.64,25.0,2366
167,95.12,25.0,2378
168,95.64,25.0,2391
169,95.68,25.0,2392
170,96.16,25.0,2404
171,96.68,25.0,2417
172,97.2,25.0,2430
173,97.24,25.0,2431
174,97.8,25.0,2445
175,98.4,25.0,2460
176,99.0,25.0,2475
177,99.04,25.0,2476
178,102.84,25.0,2571
179,106.68,25.0,2667
180,110.52,25.0,2763
181,110.56,25.0,2764
182,111.56,25.0,2789
183,112.56,25.0,2814
184,113.56,25.0,2839
185,113.6,25.0,2840
186,114.64,25.0,2866
187,115.72,25.0,2893
188,116.8,25.0,2920
189,116.84,25.0,2921
190,117.8,25.0,2945
191,118.8,25.0,2970
192,119.8,25.0,2995
193,119.84,25.0,2996
194,120.8,25.0,3020
195,121.76,25.0,3044
196,122.76,25.0,3069
197,122.8,25.0,3070
198,123.8,25.0,3095
199,124.8,25.0,3120
200,125.8,25.0,3145
201,125.84,25.0,3146
202,127.24,25.0,3181
203,128.64,25.0,3216
204,130.08,25.0,3252
205,130.12,25.0,3253
206,131.08,25.0,3277
207,132.08,25.0,3302
208,133.08,25.0,3327
209,133.12,25.0,3328
210,133.88,25.0,3347
211,134.64,25.0,3366
212,135.4,25.0,3385
213,135.44,25.0,3386
214,136.32,25.0,3408
215,137.24,25.0,3431
216,138.16,25.0,3454
217,138.2,25.0,3455
218,139.08,25.0,3477
219,140.0,25.0,3500
220,140.92,25.0,3523
221,140.96,25.0,3524
222,141.84,25.0,3546
223,142.72,25.0,3568
224,143.64,25.0,3591
225,143.68,25.0,3592
226,144.32,25.0,3608
227,145.0,25.0,3625
228,145.68,25.0,3642
229,145.72,25.0,3643
230,146.12,25.0,3653
231,146.56,25.0,3664
232,147.0,25.0,3675
233,147.04,25.0,3676
234,151.28,25.0,3782
235,155.52,25.0,3888
236,159.8,25.0,3995
237,159.84,25.0,3996
238,160.64,25.0,4016
239,161.44,25.0,4036
240,162.28,25.0,4057
241,162.32,25.0,4058
242,163.0,25.0,4075
243,163.68,25.0,4092
244,164.4,25.0,4110
245,164.44,25.0,4111
246,165.04,25.0,4126
247,165.64,25.0,4141
248,166.24,25.0,4156
249,166.28,25.0,4157
250,166.84,25.0,4171
251,167.44,25.0,4186
252,168.04,25.0,4201
253,168.08,25.0,4202
254,168.76,25.0,4219
255,169.44,25.0,4236
256,170.16,25.0,4254
257,170.2,25.0,4255
258,170.72,25.0,4268
259,171.24,25.0,4281
260,171.76,25.0,4294
261,171.8,25.0,4295
262,172.2,25.0,4305
263,172.6,25.0,4315
264,173.0,25.0,4325
265,173.04,25.0,4326
266,173.96,25.0,4349
267,174.88,25.0,4372
268,175.8,25.0,4395
269,175.84,25.0,4396
270,176.32,25.0,4408
271,176.8,25.0,4420
272,177.32,25.0,4433
273,177.36,25.0,4434
274,177.88,25.0,4447
275,178.4,25.0,4460
276,178.96,25.0,4474
277,179.0,25.0,4475
278,179.68,25.0,4492
279,180.4,25.0,4510
280,181.12,25.0,4528
281,181.16,25.0,4529
282,181.8,25.0,4545
283,182.44,25.0,4561
284,183.12,25.0,4578
285,183.16,25.0,4579
286,184.08,25.0,4602
287,185.04,25.0,4626
288,186.0,25.0,4650
289,186.04,25.0,4651
290,186.76,25.0,4669
291,187.48,25.0,4687
292,188.24,25.0,4706
