n,pts_time,fps,frame_idx
1,0.0,25.0,0
2,0.04,25.0,1
3,0.12,25.0,3
4,0.2,25.0,5
5,0.24,25.0,6
6,0.84,25.0,21
7,1.44,25.0,36
8,2.04,25.0,51
9,2.12,25.0,53
10,7.12,25.0,178
11,12.12,25.0,303
12,17.12,25.0,428
13,17.2,25.0,430
14,17.96,25.0,449
15,18.72,25.0,468
16,19.52,25.0,488
17,19.56,25.0,489
18,20.28,25.0,507
19,21.0,25.0,525
20,21.72,25.0,543
21,21.76,25.0,544
22,22.28,25.0,557
23,22.84,25.0,571
24,23.4,25.0,585
25,23.44,25.0,586
26,23.84,25.0,596
27,24.28,25.0,607
28,24.72,25.0,618
29,24.76,25.0,619
30,25.36,25.0,634
31,25.96,25.0,649
32,26.56,25.0,664
33,26.6,25.0,665
34,27.08,25.0,677
35,27.6,25.0,690
36,28.12,25.0,703
37,28.16,25.0,704
38,28.6,25.0,715
39,29.08,25.0,727
40,29.56,25.0,739
41,29.6,25.0,740
42,30.16,25.0,754
43,30.76,25.0,769
44,31.36,25.0,784
45,31.4,25.0,785
46,31.92,25.0,798
47,32.44,25.0,811
48,33.0,25.0,825
49,33.04,25.0,826
50,33.56,25.0,839
51,34.12,25.0,853
52,34.68,25.0,867
53,34.72,25.0,868
54,35.28,25.0,882
55,35.88,25.0,897
56,36.48,25.0,912
57,36.52,25.0,913
58,37.16,25.0,929
59,37.84,25.0,946
60,38.52,25.0,963
61,38.56,25.0,964
62,39.88,25.0,997
63,41.24,25.0,1031
64,42.6,25.0,1065
65,42.64,25.0,1066
66,47.32,25.0,1183
67,52.0,25.0,1300
68,56.68,25.0,1417
69,56.72,25.0,1418
70,57.52,25.0,1438
71,58.32,25.0,1458
72,59.16,25.0,1479
73,59.2,25.0,1480
74,59.76,25.0,1494
75,60.32,25.0,1508
76,60.92,25.0,1523
77,60.96,25.0,1524
78,61.76,25.0,1544
79,62.56,25.0,1564
80,63.36,25.0,1584
81,63.4,25.0,1585
82,64.24,25.0,1606
83,65.08,25.0,1627
84,65.96,25.0,1649
85,66.0,25.0,1650
86,66.8,25.0,1670
87,67.6,25.0,1690
88,68.4,25.0,1710
89,68.44,25.0,1711
90,69.24,25.0,1731
91,70.04,25.0,1751
92,70.88,25.0,1772
93,70.92,25.0,1773
94,71.6,25.0,1790
95,72.32,25.0,1808
96,73.04,25.0,1826
97,73.08,25.0,1827
98,73.6,25.0,1840
99,74.12,25.0,1853
100,74.68,25.0,1867
101,74.72,25.0,1868
102,75.2,25.0,1880
103,75.68,25.0,1892
104,76.16,25.0,1904
105,76.2,25.0,1905
106,76.44,25.0,1911
107,76.68,25.0,1917
108,76.96,25.0,1924
109,77.0,25.0,1925
110,77.56,25.0,1939
111,78.12,25.0,1953
112,78.68,25.0,1967
113,78.72,25.0,1968
114,79.36,25.0,1984
115,80.0,25.0,2000
116,80.68,25.0,2017
117,80.72,25.0,2018
118,82.24,25.0,2056
119,83.76,25.0,2094
120,85.28,25.0,2132
121,85.32,25.0,2133
122,86.08,25.0,2152
123,86.84,25.0,2171
124,87.6,25.0,2190
125,87.64,25.0,2191
126,87.92,25.0,2198
127,88.2,25.0,2205
128,88.48,25.0,2212
129,88.52,25.0,2213
130,89.24,25.0,2231
131,90.0,25.0,2250
132,90.76,25.0,2269
133,90.8,25.0,2270
134,91.32,25.0,2283
135,91.88,25.0,2297
136,92.44,25.0,2311
137,92.48,25.0,2312
138,93.04,25.0,2326
139,93.64,25.0,2341
140,94.24,25.0,2356
141,94.28,25.0,2357
142,94.72,25.0,2368
143,95.16,25.0,2379
144,95.64,25.0,2391
145,95.68,25.0,2392
146,97.32,25.0,2433
147,98.96,25.0,2474
148,100.64,25.0,2516
149,100.68,25.0,2517
150,101.32,25.0,2533
151,101.96,25.0,2549
152,102.64,25.0,2566
153,102.68,25.0,2567
154,103.44,25.0,2586
155,104.2,25.0,2605
156,105.0,25.0,2625
157,105.04,25.0,2626
158,105.8,25.0,2645
159,106.6,25.0,2665
160,107.4,25.0,2685
161,107.44,25.0,2686
162,107.68,25.0,2692
163,107.92,25.0,2698
164,108.2,25.0,2705
165,108.24,25.0,2706
166,109.24,25.0,2731
167,110.28,25.0,2757
168,111.32,25.0,2783
169,111.36,25.0,2784
170,111.88,25.0,2797
171,112.4,25.0,2810
172,112.96,25.0,2824
173,113.0,25.0,2825
174,114.4,25.0,2860
175,115.84,25.0,2896
176,117.28,25.0,2932
177,117.32,25.0,2933
178,118.36,25.0,2959
179,119.44,25.0,2986
180,120.52,25.0,3013
181,120.56,25.0,3014
182,121.84,25.0,3046
183,123.12,25.0,3078
184,124.44,25.0,3111
185,124.48,25.0,3112
186,125.4,25.0,3135
187,126.32,25.0,3158
188,127.28,25.0,3182
189,127.32,25.0,3183
190,129.08,25.0,3227
191,130.84,25.0,3271
192,132.6,25.0,3315
193,132.64,25.0,3316
194,139.64,25.0,3491
195,146.64,25.0,3666
196,153.68,25.0,3842
197,153.72,25.0,3843
198,154.32,25.0,3858
199,154.92,25.0,3873
200,155.52,25.0,3888
201,155.56,25.0,3889
202,156.28,25.0,3907
203,157.0,25.0,3925
204,157.76,25.0,3944
205,157.8,25.0,3945
206,158.28,25.0,3957
207,158.8,25.0,3970
208,159.32,25.0,3983
209,159.36,25.0,3984
210,160.0,25.0,4000
211,160.68,25.0,4017
212,161.36,25.0,4034
213,161.4,25.0,4035
214,161.68,25.0,4042
215,162.0,25.0,4050
216,162.32,25.0,4058
217,162.36,25.0,4059
218,163.2,25.0,4080
219,164.04,25.0,4101
220,164.92,25.0,4123
221,164.96,25.0,4124
222,165.56,25.0,4139
223,166.16,25.0,4154
224,166.8,25.0,4170
225,166.84,25.0,4171
226,167.16,25.0,4179
227,167.52,25.0,4188
228,167.88,25.0,4197
229,167.92,25.0,4198
230,168.44,25.0,4211
231,168.96,25.0,4224
232,169.48,25.0,4237
233,169.52,25.0,4238
234,170.6,25.0,4265
235,171.68,25.0,4292
236,172.8,25.0,4320
237,172.84,25.0,4321
238,173.44,25.0,4336
239,174.04,25.0,4351
240,174.68,25.0,4367
241,174.72,25.0,4368
242,175.12,25.0,4378
243,175.52,25.0,4388
244,175.92,25.0,4398
245,175.96,25.0,4399
246,176.28,25.0,4407
247,176.64,25.0,4416
248,177.0,25.0,4425
249,177.04,25.0,4426
250,177.6,25.0,4440
251,178.16,25.0,4454
252,178.76,25.0,4469
253,178.8,25.0,4470
254,179.48,25.0,4487
255,180.16,25.0,4504
256,180.88,25.0,4522
257,180.92,25.0,4523
258,181.84,25.0,4546
259,182.8,25.0,4570
260,183.76,25.0,4594
261,183.8,25.0,4595
262,184.28,25.0,4607
263,184.76,25.0,4619
264,185.24,25.0,4631
265,185.28,25.0,4632
266,185.56,25.0,4639
267,185.88,25.0,4647
268,186.2,25.0,4655
269,186.24,25.0,4656
270,187.4,25.0,4685
271,188.56,25.0,4714
272,189.72,25.0,4743
273,189.76,25.0,4744
274,194.4,25.0,4860
275,199.08,25.0,4977
276,203.76,25.0,5094
277,203.8,25.0,5095
278,204.76,25.0,5119
279,205.76,25.0,5144
280,206.76,25.0,5169
281,206.8,25.0,5170
282,207.36,25.0,5184
283,207.96,25.0,5199
284,208.56,25.0,5214
285,208.6,25.0,5215
286,209.32,25.0,5233
287,210.08,25.0,5252
288,210.84,25.0,5271
289,210.88,25.0,5272
290,211.72,25.0,5293
